iter	Passed	Remaining
0	3	298
1	5	277
2	8	261
3	10	246
4	13	263
5	17	269
6	20	270
7	23	271
8	26	271
9	32	292
10	39	319
11	43	320
12	47	318
13	52	324
14	73	415
15	83	439
16	88	431
17	93	423
18	97	415
19	101	404
20	105	396
21	110	391
22	114	381
23	118	374
24	122	367
25	126	358
26	131	354
27	136	350
28	143	351
29	146	342
30	150	335
31	154	327
32	158	321
33	161	312
34	164	305
35	168	299
36	174	296
37	179	292
38	183	286
39	186	279
40	190	273
41	193	267
42	196	260
43	199	253
44	202	247
45	205	241
46	208	234
47	211	229
48	214	223
49	218	218
50	221	212
51	224	206
52	226	201
53	229	195
54	232	190
55	235	184
56	239	180
57	243	176
58	246	171
59	249	166
60	253	162
61	256	157
62	261	153
63	264	148
64	269	144
65	273	140
66	276	136
67	279	131
68	283	127
69	287	123
70	290	118
71	293	114
72	296	109
73	300	105
74	303	101
75	306	96
76	310	92
77	313	88
78	316	84
79	319	79
80	323	75
81	327	71
82	331	67
83	334	63
84	338	59
85	342	55
86	347	51
87	350	47
88	354	43
89	361	40
90	365	36
91	369	32
92	374	28
93	383	24
94	390	20
95	407	16
96	411	12
97	415	8
98	422	4
99	427	0
