iter	Logloss
0	0.6859778909
1	0.6773516935
2	0.6703487172
3	0.6625301585
4	0.6549401676
5	0.6466884837
6	0.6409001967
7	0.6340135462
8	0.6272775538
9	0.6219659244
10	0.6149346744
11	0.6082183389
12	0.603005398
13	0.5966479133
14	0.5915429957
15	0.5856523402
16	0.5805608413
17	0.5749193977
18	0.5690266777
19	0.5630811803
20	0.5575697955
21	0.5519815782
22	0.54682873
23	0.54246521
24	0.5367349512
25	0.5319344016
26	0.5277745864
27	0.523372336
28	0.5199207082
29	0.5156223073
30	0.511634333
31	0.5077569849
32	0.5042785645
33	0.5000666899
34	0.4961669922
35	0.4930471084
36	0.4884792103
37	0.4847290039
38	0.4806969587
39	0.4777171415
40	0.4745568219
41	0.4707658656
42	0.4676820643
43	0.4647790348
44	0.4613658232
45	0.4586181641
46	0.4558459562
47	0.4531448813
48	0.4509728376
49	0.4488404667
50	0.4466997034
51	0.4436169793
52	0.441569923
53	0.4388741886
54	0.4360553517
55	0.4335215849
56	0.4306654089
57	0.4280327292
58	0.4263225331
59	0.4247094098
60	0.4221314374
61	0.420383229
62	0.4189465691
63	0.416653577
64	0.4140781178
65	0.4121471181
66	0.4105040606
67	0.4091951258
68	0.4079555287
69	0.4065101175
70	0.4039274777
71	0.4018418256
72	0.3999369902
73	0.3983935188
74	0.3965859357
75	0.3949054494
76	0.3935033013
77	0.3920428108
78	0.3900301316
79	0.3889696009
80	0.3878197165
81	0.3863382676
82	0.3847512189
83	0.3834373923
84	0.3815815645
85	0.3803316453
86	0.3787167269
87	0.3775291892
88	0.3763455559
89	0.37513237
90	0.3740464154
91	0.3729644775
92	0.372159352
93	0.3705438502
94	0.3696864409
95	0.3686954274
96	0.3674624275
97	0.3665139367
98	0.365409335
99	0.3646060719
100	0.3632584067
101	0.362181024
102	0.3610905142
103	0.3597242916
104	0.3583957223
105	0.3572962593
106	0.3558164709
107	0.3548644571
108	0.3541578181
109	0.3535837061
110	0.3527171415
111	0.3517191943
112	0.3503308016
113	0.3491373174
114	0.3481567158
115	0.3473866631
116	0.3468075696
117	0.3460363051
118	0.3449771208
119	0.3440876007
120	0.3431158178
121	0.341989764
122	0.3409551957
123	0.3402050916
124	0.3394839119
125	0.3389864753
126	0.338305305
127	0.3373953651
128	0.3366652545
129	0.3361661574
130	0.3355321548
131	0.3345244913
132	0.3340664583
133	0.333525624
134	0.3326258042
135	0.3318902633
136	0.330955842
137	0.3303505841
138	0.3298925512
139	0.3291434793
140	0.3285018023
141	0.3274397009
142	0.326837607
143	0.326344232
144	0.3260927537
145	0.3254504036
146	0.324797103
147	0.3243791468
148	0.3237651376
149	0.3233169107
150	0.3225194594
151	0.3220064051
152	0.3212556951
153	0.3207385568
154	0.3204167983
155	0.3198404873
156	0.3192132164
157	0.3184726939
158	0.3179374246
159	0.3175985449
160	0.3171454037
161	0.3167103487
162	0.3162843368
163	0.3157445122
164	0.3153458764
165	0.3149681091
166	0.3145385293
167	0.313902552
168	0.3134993385
169	0.3130667294
170	0.3126010222
171	0.3119783289
172	0.3113157609
173	0.3110469818
174	0.3106108497
175	0.3102931303
176	0.3099434123
177	0.309276895
178	0.3088859334
179	0.3082343382
180	0.3079077328
181	0.3074439329
182	0.3070752985
183	0.3067286323
184	0.3062975266
185	0.3059178521
186	0.3056939967
187	0.3049439823
188	0.304609568
189	0.3042273129
190	0.3036547493
191	0.3033235887
192	0.3029005612
193	0.3024193708
194	0.3020222383
195	0.3017363156
196	0.3013307459
197	0.3009067535
198	0.3005008922
199	0.3001923505
200	0.2999446196
201	0.2995366714
202	0.2992184358
203	0.2988977769
204	0.2986783645
205	0.2983776093
206	0.2982021107
207	0.2977687611
