iter	Passed	Remaining
0	3	368
1	6	329
2	10	325
3	13	321
4	16	310
5	19	299
6	21	290
7	24	283
8	28	289
9	33	299
10	36	295
11	39	291
12	43	289
13	45	282
14	48	277
15	53	280
16	57	281
17	61	279
18	64	273
19	67	268
20	69	262
21	73	261
22	77	259
23	80	253
24	83	249
25	86	245
26	91	246
27	94	242
28	97	237
29	99	233
30	102	228
31	106	226
32	109	221
33	112	217
34	115	213
35	118	209
36	122	207
37	125	204
38	128	200
39	131	197
40	134	193
41	138	190
42	140	186
43	143	182
44	146	178
45	149	175
46	152	172
47	155	168
48	158	164
49	161	161
50	164	158
51	168	155
52	171	152
53	174	148
54	177	145
55	181	142
56	185	139
57	188	136
58	191	133
59	194	129
60	198	127
61	201	123
62	205	120
63	207	116
64	211	113
65	215	110
66	218	107
67	221	104
68	224	100
69	227	97
70	231	94
71	234	91
72	238	88
73	241	84
74	245	81
75	248	78
76	251	75
77	254	71
78	258	68
79	262	65
80	265	62
81	268	58
82	271	55
83	275	52
84	279	49
85	282	45
86	285	42
87	288	39
88	293	36
89	296	32
90	299	29
91	302	26
92	307	23
93	310	19
94	314	16
95	317	13
96	320	9
97	324	6
98	327	3
99	331	0
